ProductName,Stars,Ratings,Reviews,Current_Price,MRP,Proccessor,Ram,Storage,,,,,,,,,
ASUS Vivobook 14 (2022) Core i5 12th Gen,5,4,0,66990,82990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,949,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen),,,,,,,,,
Lenovo V15 G2 Core i5 11th Gen,0,0,0,49490,81450,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Inspiron Ryzen 3 Dual Core 3250U,4.5,11,0,36690,52433,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
ASUS EeeBook 14 with NumberPad Pentium Silver,4.1,104,13,27990,40990,Intel Pentium Silver Processor,8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
acer Aspire Ryzen 5 Quad Core 3500U,4.2,325,40,35990,54999,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Lenovo Core i3 11th Gen,0,0,0,38790,58680,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,,,,,,,,,
acer Extensa 15 Core i3 11th Gen,4.1,188,26,32490,44999,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
DELL Inspiron Ryzen 3 Quad Core 5425U,3.9,8,0,44190,56748,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS VivoBook 14 (2022) Core i3 12th Gen,4.2,40,9,47990,62990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,4.3,364,39,40990,58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Infinix X1 Slim Series Core i3 10th Gen,4.3,4244,565,35990,49999,Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,256 GB SSD,,,,,,,,,
DELL Vostro Core i3 10th Gen,4,207,30,41990,54783,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
